"AORD.Open","AORD.High","AORD.Low","AORD.Close","AORD.Volume","AORD.Adjusted","Date"
706.200012,718,706.200012,713,0,713,"1984-08-03"
714.900024,736.799988,714.900024,736.799988,0,736.799988,"1984-08-06"
736.799988,736.799988,728,728.5,0,728.5,"1984-08-07"
728,730.799988,724.5,728.5,0,728.5,"1984-08-08"
NA,NA,NA,NA,NA,NA,"1984-08-09"
NA,NA,NA,NA,NA,NA,"1984-08-10"
NA,NA,NA,NA,NA,NA,"1984-08-13"
NA,NA,NA,NA,NA,NA,"1984-08-14"
727.599976,735.099976,726.799988,735.099976,0,735.099976,"1984-08-15"
NA,NA,NA,NA,NA,NA,"1984-08-16"
734.5,735.700012,734,735.700012,0,735.700012,"1984-08-17"
733.799988,736.299988,733.799988,735.599976,0,735.599976,"1984-08-20"
735.5,739.599976,735,739,0,739,"1984-08-21"
741.400024,751.900024,741.400024,751.799988,0,751.799988,"1984-08-22"
752.400024,752.400024,747.299988,747.799988,0,747.799988,"1984-08-23"
746.599976,746.599976,741.5,744.5,0,744.5,"1984-08-24"
744.700012,745.299988,743.700012,744.700012,0,744.700012,"1984-08-27"
744.5,744.5,739.200012,739.200012,0,739.200012,"1984-08-28"
739.400024,740,734.400024,735.700012,0,735.700012,"1984-08-29"
735.799988,735.799988,732.5,732.5,0,732.5,"1984-08-30"
734.799988,735.099976,732.599976,733.200012,0,733.200012,"1984-08-31"
734,735.799988,730,730.599976,0,730.599976,"1984-09-03"
729.900024,730.099976,727.599976,728.900024,0,728.900024,"1984-09-04"
728.400024,728.400024,720.200012,721.799988,0,721.799988,"1984-09-05"
722.299988,723.200012,720.5,721,0,721,"1984-09-06"
721,725.799988,721,724.900024,0,724.900024,"1984-09-07"
723.5,723.5,712.400024,712.400024,0,712.400024,"1984-09-10"
712.299988,715.299988,711.700012,714.400024,0,714.400024,"1984-09-11"
714.799988,719,714.799988,717.799988,0,717.799988,"1984-09-12"
718.099976,719.599976,717.700012,718.799988,0,718.799988,"1984-09-13"
720.299988,726.400024,720.299988,726.299988,0,726.299988,"1984-09-14"
725.599976,725.900024,723.099976,723.5,0,723.5,"1984-09-17"
722.700012,722.700012,716.400024,718,0,718,"1984-09-18"
718,718,716.700012,717.099976,0,717.099976,"1984-09-19"
716.900024,721.799988,715.900024,721.799988,0,721.799988,"1984-09-20"
722.099976,725.900024,722.099976,725.599976,0,725.599976,"1984-09-21"
726.200012,731.799988,726.099976,731.200012,0,731.200012,"1984-09-24"
731.5,731.5,728,728.400024,0,728.400024,"1984-09-25"
728.400024,728.400024,727,727.5,0,727.5,"1984-09-26"
728,733.799988,728,733.5,0,733.5,"1984-09-27"
728,733.799988,728,733.5,0,733.5,"1984-09-28"
NA,NA,NA,NA,NA,NA,"1984-10-01"
739.599976,739.599976,738.200012,738.799988,0,738.799988,"1984-10-02"
738.599976,742.200012,738.599976,742.200012,0,742.200012,"1984-10-03"
740.400024,744.599976,740.400024,744.400024,0,744.400024,"1984-10-04"
744.5,749.599976,744.5,749.400024,0,749.400024,"1984-10-05"
749.200012,750.200012,745.299988,745.299988,0,745.299988,"1984-10-08"
745,745.099976,741.299988,742.599976,0,742.599976,"1984-10-09"
742.5,742.5,739.599976,742.299988,0,742.299988,"1984-10-10"
742.299988,747.900024,742.299988,746.400024,0,746.400024,"1984-10-11"
746.799988,748.099976,746.799988,748.099976,0,748.099976,"1984-10-12"
749.5,753,749.5,753,0,753,"1984-10-15"
753.099976,755.299988,753.099976,755.299988,0,755.299988,"1984-10-16"
