"BUK100P.Open","BUK100P.High","BUK100P.Low","BUK100P.Close","BUK100P.Volume","BUK100P.Adjusted","Date"
9322.789063,9322.789063,9322.789063,9322.789063,0,9322.789063,"2010-09-17"
9462.742188,9462.742188,9462.742188,9462.742188,0,9462.742188,"2010-09-20"
9441.243164,9441.243164,9441.243164,9441.243164,0,9441.243164,"2010-09-21"
9404.410156,9404.410156,9404.410156,9404.410156,0,9404.410156,"2010-09-22"
9366.033203,9366.033203,9366.033203,9366.033203,0,9366.033203,"2010-09-23"
9459.336914,9459.336914,9459.336914,9459.336914,0,9459.336914,"2010-09-24"
9423.954102,9423.954102,9423.954102,9423.954102,0,9423.954102,"2010-09-27"
9425.134766,9425.134766,9425.134766,9425.134766,0,9425.134766,"2010-09-28"
9409.875977,9409.875977,9409.875977,9409.875977,0,9409.875977,"2010-09-29"
9389.632813,9389.632813,9389.632813,9389.632813,0,9389.632813,"2010-09-30"
9434.013672,9434.013672,9434.013672,9434.013672,0,9434.013672,"2010-10-01"
9396.902344,9396.902344,9396.902344,9396.902344,0,9396.902344,"2010-10-04"
9527.730469,9527.730469,9527.730469,9527.730469,0,9527.730469,"2010-10-05"
9592.000977,9592.000977,9592.000977,9592.000977,0,9592.000977,"2010-10-06"
9567.816406,9567.816406,9567.816406,9567.816406,0,9567.816406,"2010-10-07"
9559.442383,9559.442383,9559.442383,9559.442383,0,9559.442383,"2010-10-08"
9578.963867,9578.963867,9578.963867,9578.963867,0,9578.963867,"2010-10-11"
9577.530273,9577.530273,9577.530273,9577.530273,0,9577.530273,"2010-10-12"
9707.99707,9707.99707,9707.99707,9707.99707,0,9707.99707,"2010-10-13"
9679.205078,9679.205078,9679.205078,9679.205078,0,9679.205078,"2010-10-14"
9623.462891,9623.462891,9623.462891,9623.462891,0,9623.462891,"2010-10-15"
9708.47168,9708.47168,9708.47168,9708.47168,0,9708.47168,"2010-10-18"
9637.199219,9637.199219,9637.199219,9637.199219,0,9637.199219,"2010-10-19"
9673.605469,9673.605469,9673.605469,9673.605469,0,9673.605469,"2010-10-20"
9731.6875,9731.6875,9731.6875,9731.6875,0,9731.6875,"2010-10-21"
9691.253906,9691.253906,9691.253906,9691.253906,0,9691.253906,"2010-10-22"
9726.505859,9726.505859,9726.505859,9726.505859,0,9726.505859,"2010-10-25"
9650.462891,9650.462891,9650.462891,9650.462891,0,9650.462891,"2010-10-26"
9552.351563,9552.351563,9552.351563,9552.351563,0,9552.351563,"2010-10-27"
9604.095703,9604.095703,9604.095703,9604.095703,0,9604.095703,"2010-10-28"
9602.061523,9602.061523,9602.061523,9602.061523,0,9602.061523,"2010-10-29"
9623.288086,9623.288086,9623.288086,9623.288086,0,9623.288086,"2010-11-01"
9736.727539,9736.727539,9736.727539,9736.727539,0,9736.727539,"2010-11-02"
9707.039063,9707.039063,9707.039063,9707.039063,0,9707.039063,"2010-11-03"
9896.821289,9896.821289,9896.821289,9896.821289,0,9896.821289,"2010-11-04"
9907.099609,9907.099609,9907.099609,9907.099609,0,9907.099609,"2010-11-05"
9884.195313,9884.195313,9884.195313,9884.195313,0,9884.195313,"2010-11-08"
9924.624023,9924.624023,9924.624023,9924.624023,0,9924.624023,"2010-11-09"
9833.006836,9833.006836,9833.006836,9833.006836,0,9833.006836,"2010-11-10"
9831.714844,9831.714844,9831.714844,9831.714844,0,9831.714844,"2010-11-11"
9797.681641,9797.681641,9797.681641,9797.681641,0,9797.681641,"2010-11-12"
9824.224609,9824.224609,9824.224609,9824.224609,0,9824.224609,"2010-11-15"
9615.875977,9615.875977,9615.875977,9615.875977,0,9615.875977,"2010-11-16"
9615.546875,9615.546875,9615.546875,9615.546875,0,9615.546875,"2010-11-17"
9734.952148,9734.952148,9734.952148,9734.952148,0,9734.952148,"2010-11-18"
9675.920898,9675.920898,9675.920898,9675.920898,0,9675.920898,"2010-11-19"
9605.4375,9605.4375,9605.4375,9605.4375,0,9605.4375,"2010-11-22"
9454.697266,9454.697266,9454.697266,9454.697266,0,9454.697266,"2010-11-23"
9553.017578,9553.017578,9553.017578,9553.017578,0,9553.017578,"2010-11-24"
9630.016602,9630.016602,9630.016602,9630.016602,0,9630.016602,"2010-11-25"
9579.330078,9579.330078,9579.330078,9579.330078,0,9579.330078,"2010-11-26"
9406.154297,9406.154297,9406.154297,9406.154297,0,9406.154297,"2010-11-29"
9365.523438,9365.523438,9365.523438,9365.523438,0,9365.523438,"2010-11-30"
