"BVSP.Open","BVSP.High","BVSP.Low","BVSP.Close","BVSP.Volume","BVSP.Adjusted","Date"
24.799999,25.4,24.5,24.5,0,24.5,"1993-04-27"
24.5,24.6,23.700001,24.299999,0,24.299999,"1993-04-28"
24.299999,24.799999,23.700001,23.700001,0,23.700001,"1993-04-29"
23.700001,24.200001,23.700001,24.1,0,24.1,"1993-04-30"
24.1,24.4,23.799999,24.1,0,24.1,"1993-05-03"
24.1,25,24.1,24.9,0,24.9,"1993-05-04"
24.9,24.9,24.299999,24.6,0,24.6,"1993-05-05"
24.6,25.700001,24.6,25.6,0,25.6,"1993-05-06"
25.6,26.1,25.5,25.799999,0,25.799999,"1993-05-07"
25.799999,25.799999,25.1,25.200001,0,25.200001,"1993-05-10"
25.200001,26.299999,25.1,26.299999,0,26.299999,"1993-05-11"
26.299999,27.1,26.200001,26.700001,0,26.700001,"1993-05-12"
26.700001,27.6,26.700001,27.4,0,27.4,"1993-05-13"
27.4,27.9,27.4,27.799999,0,27.799999,"1993-05-14"
27.799999,29.299999,27.700001,29.299999,0,29.299999,"1993-05-17"
29.299999,30,29.299999,29.5,0,29.5,"1993-05-18"
29.5,30.299999,29.5,29.9,0,29.9,"1993-05-19"
29.9,32.099998,29.9,32,0,32,"1993-05-20"
32,33.5,31.700001,33.200001,0,33.200001,"1993-05-21"
33.200001,34.299999,33.200001,33.799999,0,33.799999,"1993-05-24"
33.799999,34.5,33.799999,34.400002,0,34.400002,"1993-05-25"
34.400002,35.599998,34.400002,35,0,35,"1993-05-26"
35,35.099998,34.700001,34.799999,0,34.799999,"1993-05-27"
34.900002,34.900002,34.900002,34.900002,0,34.900002,"1993-05-28"
34.900002,34.900002,34.900002,34.900002,0,34.900002,"1993-05-31"
35.400002,37.200001,35.400002,37.200001,0,37.200001,"1993-06-01"
37.799999,39.599998,37.799999,39.299999,0,39.299999,"1993-06-02"
39.5,40.900002,38.799999,40.799999,0,40.799999,"1993-06-03"
41.099998,42,40.5,41.200001,0,41.200001,"1993-06-04"
41,43.299999,41,42.200001,0,42.200001,"1993-06-07"
42.400002,43,42,42.200001,0,42.200001,"1993-06-08"
42.200001,42.299999,41.200001,41.5,0,41.5,"1993-06-09"
NA,NA,NA,NA,NA,NA,"1993-06-10"
44.599998,44.900002,44.599998,44.900002,0,44.900002,"1993-06-11"
44.900002,46,44.5,45.200001,0,45.200001,"1993-06-14"
45.200001,47.599998,45.200001,45.900002,0,45.900002,"1993-06-15"
45.900002,49.400002,45.900002,49.400002,0,49.400002,"1993-06-16"
49.400002,53.099998,44.400002,47.099998,0,47.099998,"1993-06-17"
47.099998,49.099998,46.5,47.400002,0,47.400002,"1993-06-18"
47.400002,48.900002,47.099998,47.900002,0,47.900002,"1993-06-21"
47.900002,49.599998,47.299999,49.5,0,49.5,"1993-06-22"
49.5,51.299999,48.099998,48.099998,0,48.099998,"1993-06-23"
48.099998,49.299999,47.700001,48.700001,0,48.700001,"1993-06-24"
48.700001,52.200001,48.700001,52.200001,0,52.200001,"1993-06-25"
52.200001,54.799999,51,53.599998,0,53.599998,"1993-06-28"
53.599998,54.599998,52.700001,52.900002,0,52.900002,"1993-06-29"
52.900002,54.200001,52.900002,53.700001,0,53.700001,"1993-06-30"
53.700001,55.099998,52.099998,52.299999,0,52.299999,"1993-07-01"
52.299999,53.599998,51.700001,52.299999,0,52.299999,"1993-07-02"
53.900002,54.900002,53.799999,54.900002,0,54.900002,"1993-07-05"
55.299999,56.700001,55.299999,56.099998,0,56.099998,"1993-07-06"
56.099998,57.599998,56.099998,57.5,0,57.5,"1993-07-07"
57.5,58,56.400002,57.099998,0,57.099998,"1993-07-08"
57.099998,58.799999,57.099998,58.799999,0,58.799999,"1993-07-09"
58.799999,60.599998,58.799999,59.700001,0,59.700001,"1993-07-12"
59.700001,60.5,59.299999,60.400002,0,60.400002,"1993-07-13"
60.400002,60.400002,57.799999,58,0,58,"1993-07-14"
58,58.799999,56.799999,57.099998,0,57.099998,"1993-07-15"
57.099998,58.599998,56.5,58.299999,0,58.299999,"1993-07-16"
58.299999,59.299999,58.299999,59.200001,0,59.200001,"1993-07-19"
59.200001,62.299999,59.200001,62.299999,0,62.299999,"1993-07-20"
62.299999,63.200001,62.200001,62.299999,0,62.299999,"1993-07-21"
62.299999,62.299999,60.599998,61.700001,0,61.700001,"1993-07-22"
61.700001,64.300003,61.700001,63.5,0,63.5,"1993-07-23"
63.5,63.700001,61.5,61.799999,0,61.799999,"1993-07-26"
61.799999,62.299999,61.099998,62.099998,0,62.099998,"1993-07-27"
62.099998,64.400002,62.099998,63.799999,0,63.799999,"1993-07-28"
63.799999,66.300003,63.799999,66.099998,0,66.099998,"1993-07-29"
66.099998,67.400002,65.599998,65.599998,0,65.599998,"1993-07-30"
65.599998,65.699997,62.400002,62.700001,0,62.700001,"1993-08-02"
62.700001,63.400002,61.700001,62.599998,0,62.599998,"1993-08-03"
62.599998,64.300003,61.599998,61.799999,0,61.799999,"1993-08-04"
61.799999,63.099998,60.599998,62.700001,0,62.700001,"1993-08-05"
62.700001,64.599998,62.700001,64.199997,0,64.199997,"1993-08-06"
64.199997,65.800003,63.700001,64.300003,0,64.300003,"1993-08-09"
64.300003,67.5,64.300003,67.5,0,67.5,"1993-08-10"
67.5,70.099998,67.5,69.900002,0,69.900002,"1993-08-11"
69.900002,74.400002,69.900002,74,0,74,"1993-08-12"
74,75.099998,72.699997,72.699997,0,72.699997,"1993-08-13"
72.699997,77.800003,72.699997,77.300003,0,77.300003,"1993-08-16"
77.300003,81.199997,77.300003,80.199997,0,80.199997,"1993-08-17"
80.199997,81.5,78.599998,79.5,0,79.5,"1993-08-18"
79.5,85.199997,79.5,85.099998,0,85.099998,"1993-08-19"
85.099998,89.199997,85.099998,88.300003,0,88.300003,"1993-08-20"
88.300003,90.099998,87.300003,89.900002,0,89.900002,"1993-08-23"
89.900002,92.099998,88.400002,90.599998,0,90.599998,"1993-08-24"
90.599998,92.099998,90.5,91.5,0,91.5,"1993-08-25"
91.5,97.300003,91.5,97.300003,0,97.300003,"1993-08-26"
97.300003,99.800003,96.900002,97.300003,0,97.300003,"1993-08-27"
97.300003,100.099998,95.300003,99.800003,0,99.800003,"1993-08-30"
99.800003,99.800003,96.300003,96.400002,0,96.400002,"1993-08-31"
96.400002,103.099998,96.400002,102.599998,0,102.599998,"1993-09-01"
102.599998,110.099998,102.599998,109.900002,0,109.900002,"1993-09-02"
109.900002,111.900002,108.300003,111.800003,0,111.800003,"1993-09-03"
111.800003,116.199997,111.800003,116.199997,0,116.199997,"1993-09-06"
NA,NA,NA,NA,NA,NA,"1993-09-07"
116.199997,122.400002,116.199997,117.5,0,117.5,"1993-09-08"
117.5,118.800003,116.099998,118.199997,0,118.199997,"1993-09-09"
120.599998,123.699997,120.599998,123.099998,0,123.099998,"1993-09-10"
123.099998,126.800003,121.199997,123.199997,0,123.199997,"1993-09-13"
123.199997,123.400002,118.5,120.300003,0,120.300003,"1993-09-14"
120.300003,124,119.5,124,0,124,"1993-09-15"
124,129.300003,124,127.800003,0,127.800003,"1993-09-16"
127.800003,139.199997,127.800003,138.899994,0,138.899994,"1993-09-17"
138.899994,141.399994,136.699997,138.100006,0,138.100006,"1993-09-20"
138.100006,139.100006,133.800003,134.699997,0,134.699997,"1993-09-21"
134.699997,139.399994,133,136.199997,0,136.199997,"1993-09-22"
136.199997,143.199997,136.199997,143,0,143,"1993-09-23"
143,149.399994,141.5,142.699997,0,142.699997,"1993-09-24"
142.699997,142.699997,139.100006,139.100006,0,139.100006,"1993-09-27"
139.100006,143.899994,139.100006,143.800003,0,143.800003,"1993-09-28"
143.899994,149.399994,143.899994,147.399994,0,147.399994,"1993-09-29"
147.399994,150.300003,146.5,146.600006,0,146.600006,"1993-09-30"
146.600006,150.300003,146.600006,148.300003,0,148.300003,"1993-10-01"
148.300003,150.100006,147.199997,147.199997,0,147.199997,"1993-10-04"
147.199997,153.800003,147.199997,153.399994,0,153.399994,"1993-10-05"
153.399994,159.399994,152.199997,157.800003,0,157.800003,"1993-10-06"
157.800003,167.5,157.800003,167,0,167,"1993-10-07"
167,173.5,167,172.899994,0,172.899994,"1993-10-08"
172.899994,181,172.899994,180.699997,0,180.699997,"1993-10-11"
NA,NA,NA,NA,NA,NA,"1993-10-12"
180.699997,187.699997,180.699997,184.600006,0,184.600006,"1993-10-13"
184.600006,207,183.899994,187,0,187,"1993-10-14"
187,189.899994,185.699997,189.399994,0,189.399994,"1993-10-15"
189.399994,190.399994,171.399994,171.399994,0,171.399994,"1993-10-18"
171.399994,179.399994,163.199997,176.699997,0,176.699997,"1993-10-19"
176.699997,176.699997,162.800003,166,0,166,"1993-10-20"
161.100006,165.199997,149.800003,150.300003,0,150.300003,"1993-10-21"
150.300003,167.699997,150.300003,166.899994,0,166.899994,"1993-10-22"
166.899994,166.899994,155.600006,156.100006,0,156.100006,"1993-10-25"
156.100006,164.399994,156.100006,164.300003,0,164.300003,"1993-10-26"
164.300003,179.800003,164.300003,179.800003,0,179.800003,"1993-10-27"
179.800003,183.100006,174.600006,177.5,0,177.5,"1993-10-28"
177.5,185.199997,174.800003,184.399994,0,184.399994,"1993-10-29"
184.399994,203.600006,184.399994,203.600006,0,203.600006,"1993-11-01"
NA,NA,NA,NA,NA,NA,"1993-11-02"
203.600006,205.600006,197.800003,201.5,0,201.5,"1993-11-03"
201.5,206.5,196.399994,198.100006,0,198.100006,"1993-11-04"
198.100006,201.800003,194.399994,201.5,0,201.5,"1993-11-05"
201.5,214.399994,199.899994,212.899994,0,212.899994,"1993-11-08"
212.899994,220.699997,210.300003,213.399994,0,213.399994,"1993-11-09"
213.399994,228.5,213.399994,228.300003,0,228.300003,"1993-11-10"
228.300003,234.300003,228.300003,232.800003,0,232.800003,"1993-11-11"
232.800003,241.5,232.800003,235.899994,0,235.899994,"1993-11-12"
NA,NA,NA,NA,NA,NA,"1993-11-15"
235.899994,239.600006,234.800003,239.300003,0,239.300003,"1993-11-16"
239.300003,251.899994,239.300003,250.5,0,250.5,"1993-11-17"
250.5,258.200012,249.199997,251.300003,0,251.300003,"1993-11-18"
251.300003,253.800003,249.699997,249.800003,0,249.800003,"1993-11-19"
249.800003,252.100006,247,247.399994,0,247.399994,"1993-11-22"
247.399994,258.399994,247.399994,258.399994,0,258.399994,"1993-11-23"
258.399994,273.600006,258.399994,270.100006,0,270.100006,"1993-11-24"
270.100006,276.600006,268.399994,276.399994,0,276.399994,"1993-11-25"
276.399994,287,276.399994,282.200012,0,282.200012,"1993-11-26"
282.200012,282.700012,275.100006,276.5,0,276.5,"1993-11-29"
276.5,278.200012,270,274,0,274,"1993-11-30"
274,278.700012,266.799988,267,0,267,"1993-12-01"
267,273,266.799988,271.700012,0,271.700012,"1993-12-02"
271.700012,289.799988,271.700012,288.700012,0,288.700012,"1993-12-03"
288.700012,296.200012,288.700012,296.200012,0,296.200012,"1993-12-06"
296.200012,298,289.899994,293,0,293,"1993-12-07"
293,297.399994,290.100006,291.200012,0,291.200012,"1993-12-08"
291.200012,291.200012,283.600006,284.700012,0,284.700012,"1993-12-09"
284.700012,295.100006,284.700012,290.600006,0,290.600006,"1993-12-10"
290.600006,294.299988,287,294.299988,0,294.299988,"1993-12-13"
294.299988,307.200012,294.299988,304.899994,0,304.899994,"1993-12-14"
304.899994,312.200012,301.200012,301.200012,0,301.200012,"1993-12-15"
301.200012,307.600006,300.399994,304.299988,0,304.299988,"1993-12-16"
304.299988,311.600006,304.100006,309.399994,0,309.399994,"1993-12-17"
309.399994,316.200012,308.799988,310,0,310,"1993-12-20"
310,329.700012,310,329.700012,0,329.700012,"1993-12-21"
329.700012,344.700012,329.700012,343.399994,0,343.399994,"1993-12-22"
343.399994,350.899994,343.399994,349.200012,0,349.200012,"1993-12-23"
NA,NA,NA,NA,NA,NA,"1993-12-24"
349.200012,360.700012,349.200012,359.299988,0,359.299988,"1993-12-27"
359.299988,364.700012,356.100006,360.399994,0,360.399994,"1993-12-28"
360.399994,373.700012,360.399994,373.600006,0,373.600006,"1993-12-29"
373.600006,378.600006,373.600006,375.5,0,375.5,"1993-12-30"
NA,NA,NA,NA,NA,NA,"1993-12-31"
375.5,380.100006,373.399994,380.100006,0,380.100006,"1994-01-03"
380.100006,400.600006,380.100006,400.600006,0,400.600006,"1994-01-04"
400.600006,435.700012,400.600006,421.100006,0,421.100006,"1994-01-05"
421.100006,446.5,421.100006,444.200012,0,444.200012,"1994-01-06"
444.200012,476.600006,444.200012,476.399994,0,476.399994,"1994-01-07"
476.399994,501.5,476.399994,495.399994,0,495.399994,"1994-01-10"
495.399994,509.399994,490,501.399994,0,501.399994,"1994-01-11"
501.399994,536.400024,501.399994,536.400024,0,536.400024,"1994-01-12"
536.400024,567.200012,531.200012,561.700012,0,561.700012,"1994-01-13"
561.700012,574.299988,546.5,551.099976,0,551.099976,"1994-01-14"
551.099976,601.700012,551.099976,598.099976,0,598.099976,"1994-01-17"
598.099976,635.799988,592.200012,605.700012,0,605.700012,"1994-01-18"
605.700012,642,595.5,642,0,642,"1994-01-19"
