"FTSE.Open","FTSE.High","FTSE.Low","FTSE.Close","FTSE.Volume","FTSE.Adjusted","Date"
997.5,1001.400024,997.5,997.5,0,997.5,"1984-01-03"
997.5,999.5,993.299988,998.599976,0,998.599976,"1984-01-04"
1007.099976,1015.799988,1007.099976,1015.799988,0,1015.799988,"1984-01-05"
1019,1029.300049,1019,1029,0,1029,"1984-01-06"
1030.599976,1035.400024,1030.599976,1034.599976,0,1034.599976,"1984-01-09"
1034.599976,1034.900024,1029.900024,1034.300049,0,1034.300049,"1984-01-10"
1033.599976,1033.599976,1021.400024,1023.400024,0,1023.400024,"1984-01-11"
1023.400024,1031.300049,1020.200012,1031.300049,0,1031.300049,"1984-01-12"
1033.099976,1042.699951,1033.099976,1042.699951,0,1042.699951,"1984-01-13"
1042.699951,1046,1039.099976,1046,0,1046,"1984-01-16"
1044.400024,1044.400024,1036.199951,1041.900024,0,1041.900024,"1984-01-17"
1044.400024,1058.699951,1044.400024,1058.699951,0,1058.699951,"1984-01-18"
1058.699951,1060.199951,1053.900024,1057.800049,0,1057.800049,"1984-01-19"
1057.800049,1060.599976,1056.199951,1059,0,1059,"1984-01-20"
1059,1059,1046.300049,1046.800049,0,1046.800049,"1984-01-23"
1046.800049,1055.199951,1039.900024,1055.199951,0,1055.199951,"1984-01-24"
1058.199951,1073.5,1058.199951,1073.5,0,1073.5,"1984-01-25"
1073.5,1074.800049,1069,1072.099976,0,1072.099976,"1984-01-26"
1072.099976,1075.900024,1065,1075.900024,0,1075.900024,"1984-01-27"
1075.900024,1082,1068.599976,1068.599976,0,1068.599976,"1984-01-30"
1063.5,1063.5,1058,1063,0,1063,"1984-01-31"
1062.599976,1062.599976,1060.300049,1060.300049,0,1060.300049,"1984-02-01"
1055,1055,1046,1050.800049,0,1050.800049,"1984-02-02"
1054.400024,1060.199951,1054.400024,1059.800049,0,1059.800049,"1984-02-03"
1054.199951,1054.199951,1038.199951,1038.199951,0,1038.199951,"1984-02-06"
1026.699951,1026.699951,1019.200012,1021.700012,0,1021.700012,"1984-02-07"
1026.699951,1034.5,1026.699951,1029.699951,0,1029.699951,"1984-02-08"
1016.900024,1016.900024,1010,1016.900024,0,1016.900024,"1984-02-09"
1016.900024,1020.700012,1012.299988,1018,0,1018,"1984-02-10"
1018.299988,1023,1018.299988,1018.299988,0,1018.299988,"1984-02-13"
1018.299988,1027,1015.400024,1027,0,1027,"1984-02-14"
1031.699951,1036.800049,1031.699951,1033,0,1033,"1984-02-15"
1033,1035.599976,1030.400024,1035,0,1035,"1984-02-16"
1035,1039,1035,1039,0,1039,"1984-02-17"
1038.699951,1038.699951,1034.199951,1035.400024,0,1035.400024,"1984-02-20"
1038.400024,1044.699951,1038.400024,1044.400024,0,1044.400024,"1984-02-21"
1044.400024,1045.5,1040.699951,1043,0,1043,"1984-02-22"
1042.099976,1042.099976,1031.699951,1031.699951,0,1031.699951,"1984-02-23"
1031.699951,1036.900024,1030.800049,1036.900024,0,1036.900024,"1984-02-24"
1038.800049,1044.300049,1038.800049,1041.300049,0,1041.300049,"1984-02-27"
1039.199951,1039.199951,1039.199951,1039.199951,0,1039.199951,"1984-02-28"
