"STOXX50E.Open","STOXX50E.High","STOXX50E.Low","STOXX50E.Close","STOXX50E.Volume","STOXX50E.Adjusted","Date"
900.820007,900.820007,900.820007,900.820007,0,900.820007,"1986-12-31"
900.820007,900.820007,900.820007,900.820007,0,900.820007,"1987-01-01"
891.780029,891.780029,891.780029,891.780029,0,891.780029,"1987-01-02"
898.330017,898.330017,898.330017,898.330017,0,898.330017,"1987-01-05"
902.320007,902.320007,902.320007,902.320007,0,902.320007,"1987-01-06"
899.150024,899.150024,899.150024,899.150024,0,899.150024,"1987-01-07"
887.369995,887.369995,887.369995,887.369995,0,887.369995,"1987-01-08"
868.309998,868.309998,868.309998,868.309998,0,868.309998,"1987-01-09"
879.409973,879.409973,879.409973,879.409973,0,879.409973,"1987-01-12"
872.73999,872.73999,872.73999,872.73999,0,872.73999,"1987-01-13"
876.390015,876.390015,876.390015,876.390015,0,876.390015,"1987-01-14"
884.369995,884.369995,884.369995,884.369995,0,884.369995,"1987-01-15"
883.780029,883.780029,883.780029,883.780029,0,883.780029,"1987-01-16"
876.150024,876.150024,876.150024,876.150024,0,876.150024,"1987-01-19"
875.099976,875.099976,875.099976,875.099976,0,875.099976,"1987-01-20"
872.469971,872.469971,872.469971,872.469971,0,872.469971,"1987-01-21"
876.690002,876.690002,876.690002,876.690002,0,876.690002,"1987-01-22"
883.619995,883.619995,883.619995,883.619995,0,883.619995,"1987-01-23"
870.960022,870.960022,870.960022,870.960022,0,870.960022,"1987-01-26"
868.190002,868.190002,868.190002,868.190002,0,868.190002,"1987-01-27"
838.599976,838.599976,838.599976,838.599976,0,838.599976,"1987-01-28"
847.380005,847.380005,847.380005,847.380005,0,847.380005,"1987-01-29"
859.080017,859.080017,859.080017,859.080017,0,859.080017,"1987-01-30"
849.030029,849.030029,849.030029,849.030029,0,849.030029,"1987-02-02"
839.599976,839.599976,839.599976,839.599976,0,839.599976,"1987-02-03"
838.530029,838.530029,838.530029,838.530029,0,838.530029,"1987-02-04"
833.030029,833.030029,833.030029,833.030029,0,833.030029,"1987-02-05"
842.22998,842.22998,842.22998,842.22998,0,842.22998,"1987-02-06"
844.72998,844.72998,844.72998,844.72998,0,844.72998,"1987-02-09"
837.909973,837.909973,837.909973,837.909973,0,837.909973,"1987-02-10"
837.559998,837.559998,837.559998,837.559998,0,837.559998,"1987-02-11"
840.530029,840.530029,840.530029,840.530029,0,840.530029,"1987-02-12"
841.539978,841.539978,841.539978,841.539978,0,841.539978,"1987-02-13"
844.109985,844.109985,844.109985,844.109985,0,844.109985,"1987-02-16"
